N,D,step,val_github,val_pilecc,val_books3,r_github,r_pilecc,r_books3,loss
70000000,30000000000,10000,1,0,0,0.375,0.625,0,1.5498363170546559
70000000,30000000000,13000,0,1,0,0.75,0.25,0,3.8346418151105652
70000000,30000000000,18000,0,1,0,0.75,0.25,0,3.770217483108108
70000000,30000000000,12000,0,1,0,0.375,0.625,0,3.6643360334766584
70000000,30000000000,24000,0,1,0,0.625,0.375,0,3.641474393427518
70000000,30000000000,20000,0,1,0,0.5,0.5,0,3.6117168304668303
70000000,30000000000,18000,0,1,0,0.25,0.75,0,3.553962876228501
70000000,30000000000,20000,1,0,0,0.5,0.5,0,1.3660488360323886
70000000,30000000000,12000,0,1,0,0.5,0.5,0,3.7229681741400493
70000000,30000000000,27000,1,0,0,0.5,0.5,0,1.3327172159665992
70000000,30000000000,27000,0,1,0,0.75,0.25,0,3.7085908707002457
70000000,30000000000,30000,1,0,0,0.5,0.5,0,1.3278245192307692
70000000,30000000000,12000,1,0,0,0.375,0.625,0,1.5199266194331984
70000000,30000000000,10000,0,1,0,0.75,0.25,0,3.888470324017199
70000000,30000000000,16000,0,1,0,0.5,0.5,0,3.6435090985872236
70000000,30000000000,16000,1,0,0,0.625,0.375,0,1.3648390055668016
70000000,30000000000,30000,1,0,0,0.75,0.25,0,1.2567707015435223
70000000,30000000000,27000,1,0,0,0.25,0.75,0,1.4475028466599191
70000000,30000000000,18000,0,1,0,0.625,0.375,0,3.6905088682432434
70000000,30000000000,27000,1,0,0,0.375,0.625,0,1.3889644483805668
70000000,30000000000,20000,0,1,0,0.75,0.25,0,3.751871544840295
70000000,30000000000,16000,0,1,0,0.625,0.375,0,3.71570753992629
70000000,30000000000,14000,0,1,0,0.375,0.625,0,3.6390653792997543
70000000,30000000000,30000,1,0,0,0.625,0.375,0,1.2935973873987854
70000000,30000000000,10000,0,1,0,0.625,0.375,0,3.801385902948403
70000000,30000000000,14000,0,1,0,0.625,0.375,0,3.739605727886978
70000000,30000000000,24000,1,0,0,0.5,0.5,0,1.3401778371710527
70000000,30000000000,24000,1,0,0,0.25,0.75,0,1.4580414189018218
70000000,30000000000,12000,0,1,0,0.25,0.75,0,3.628767083845209
70000000,30000000000,24000,0,1,0,0.75,0.25,0,3.725242820945946
70000000,30000000000,12000,0,1,0,0.75,0.25,0,3.85620777027027
70000000,30000000000,14000,0,1,0,0.25,0.75,0,3.602253531941032
