h,ffnh,numh,numl,lr,bs,ti,D,N,loss
1280,9048,10,13,0.00195,2048,6783,28400000000,536872960,2.336818
1280,9048,10,13,0.000488,128,108528,28400000000,536872960,2.210151
1280,9048,10,13,0.00138,256,54264,28400000000,536872960,2.286186
1280,9048,10,13,0.00195,32,434112,28400000000,536872960,2.23778
1280,9048,10,13,0.0156,2048,6783,28400000000,536872960,6.499803
1280,9048,10,13,0.000691,2048,6783,28400000000,536872960,2.365127
1280,9048,10,13,0.00781,32,434112,28400000000,536872960,2.419572
1280,9048,10,13,0.00552,128,108528,28400000000,536872960,2.238952
1280,9048,10,13,0.000691,736,18874,28400000000,536872960,2.288809
1280,9048,10,13,0.00781,352,39464,28400000000,536872960,2.308204
1280,9048,10,13,0.00552,512,27132,28400000000,536872960,2.31031
1280,9048,10,13,0.000345,192,72352,28400000000,536872960,2.263594
1280,9048,10,13,0.00195,352,39464,28400000000,536872960,2.26018
1280,9048,10,13,0.0156,192,72352,28400000000,536872960,2.45728
1280,9048,10,13,0.000977,2048,6783,28400000000,536872960,2.349748
1280,9048,10,13,0.000488,256,54264,28400000000,536872960,2.309114
1280,9048,10,13,0.0111,128,108528,28400000000,536872960,2.402468
1280,9048,10,13,0.00552,32,434112,28400000000,536872960,2.410013
1280,9048,10,13,0.000691,256,54264,28400000000,536872960,2.299652
1280,9048,10,13,0.0111,512,27132,28400000000,536872960,2.388472
1280,9048,10,13,0.00276,736,18874,28400000000,536872960,2.284572
1280,9048,10,13,0.00276,32,434112,28400000000,536872960,2.267645
1280,9048,10,13,0.00391,1024,13566,28400000000,536872960,2.313925
1280,9048,10,13,0.000488,32,434112,28400000000,536872960,2.189135
1280,9048,10,13,0.00552,736,18874,28400000000,536872960,2.297649
1280,9048,10,13,0.00391,2048,6783,28400000000,536872960,2.366383
1280,9048,10,13,0.000977,192,72352,28400000000,536872960,2.239861
1280,9048,10,13,0.00138,32,434112,28400000000,536872960,2.219167
1280,9048,10,13,0.000977,512,27132,28400000000,536872960,2.283354
1280,9048,10,13,0.00391,192,72352,28400000000,536872960,2.251158
1280,9048,10,13,0.00552,64,217056,28400000000,536872960,2.23992
1280,9048,10,13,0.000345,352,39464,28400000000,536872960,2.2957
1280,9048,10,13,0.00276,64,217056,28400000000,536872960,2.196265
1280,9048,10,13,0.00276,352,39464,28400000000,536872960,2.261177
1280,9048,10,13,0.000488,512,27132,28400000000,536872960,2.303498
1280,9048,10,13,0.00781,736,18874,28400000000,536872960,2.36187
1280,9048,10,13,0.0111,2048,6783,28400000000,536872960,6.771572
1280,9048,10,13,0.00781,1024,13566,28400000000,536872960,2.346902
1280,9048,10,13,0.00391,512,27132,28400000000,536872960,2.290447
1280,9048,10,13,0.000691,1024,13566,28400000000,536872960,2.310462
1280,9048,10,13,0.00138,512,27132,28400000000,536872960,2.283111
1280,9048,10,13,0.00391,256,54264,28400000000,536872960,2.300581
1280,9048,10,13,0.00781,2048,6783,28400000000,536872960,2.399161
1280,9048,10,13,0.0156,736,18874,28400000000,536872960,6.745381
1280,9048,10,13,0.0156,128,108528,28400000000,536872960,2.389783
1280,9048,10,13,0.00276,2048,6783,28400000000,536872960,2.35275
1280,9048,10,13,0.0156,1024,13566,28400000000,536872960,6.296585
1280,9048,10,13,0.00781,128,108528,28400000000,536872960,2.317372
1280,9048,10,13,0.000345,736,18874,28400000000,536872960,2.316119
1280,9048,10,13,0.000345,2048,6783,28400000000,536872960,2.400324
1280,9048,10,13,0.00195,64,217056,28400000000,536872960,2.180592
1280,9048,10,13,0.00195,192,72352,28400000000,536872960,2.233256
1280,9048,10,13,0.000691,128,108528,28400000000,536872960,2.20167
1280,9048,10,13,0.000345,512,27132,28400000000,536872960,2.315026
1280,9048,10,13,0.00138,352,39464,28400000000,536872960,2.260142
1280,9048,10,13,0.00552,352,39464,28400000000,536872960,2.289653
1280,9048,10,13,0.0156,512,27132,28400000000,536872960,6.742148
1280,9048,10,13,0.00138,192,72352,28400000000,536872960,2.236036
1280,9048,10,13,0.000345,32,434112,28400000000,536872960,2.184242
1280,9048,10,13,0.00391,352,39464,28400000000,536872960,2.26885
1280,9048,10,13,0.00391,64,217056,28400000000,536872960,2.219482
1280,9048,10,13,0.0111,64,217056,28400000000,536872960,2.33675
1280,9048,10,13,0.00195,1024,13566,28400000000,536872960,2.29634
1280,9048,10,13,0.00781,512,27132,28400000000,536872960,2.328241
1280,9048,10,13,0.00195,256,54264,28400000000,536872960,2.285002
1280,9048,10,13,0.000345,256,54264,28400000000,536872960,2.317545
1280,9048,10,13,0.0156,64,217056,28400000000,536872960,2.446153
1280,9048,10,13,0.00781,192,72352,28400000000,536872960,2.30648
1280,9048,10,13,0.00781,64,217056,28400000000,536872960,2.328345
1280,9048,10,13,0.00276,512,27132,28400000000,536872960,2.27934
1280,9048,10,13,0.00195,128,108528,28400000000,536872960,2.199852
1280,9048,10,13,0.000691,352,39464,28400000000,536872960,2.273986
1280,9048,10,13,0.00391,736,18874,28400000000,536872960,2.286755
1280,9048,10,13,0.0156,256,54264,28400000000,536872960,2.484097
1280,9048,10,13,0.000691,64,217056,28400000000,536872960,2.163053
1280,9048,10,13,0.000488,192,72352,28400000000,536872960,2.254019
1280,9048,10,13,0.00552,2048,6783,28400000000,536872960,2.368857
1280,9048,10,13,0.0111,256,54264,28400000000,536872960,2.537237
1280,9048,10,13,0.00391,128,108528,28400000000,536872960,2.220497
1280,9048,10,13,0.000488,736,18874,28400000000,536872960,2.301028
1280,9048,10,13,0.000977,128,108528,28400000000,536872960,2.2015
1280,9048,10,13,0.00552,192,72352,28400000000,536872960,2.268759
