topk,nume,moeh,sed,h,ffnh,numh,numl,lr,bs,ti,N,Na,M,kvcache,D,D/N,Na/N,loss,smooth loss
2,88,352,704,1408,3904,11,16,0.0003453,128,7629,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.631746,2.6366214322611943
1,8,3528,3528,1408,3904,11,16,0.0003453,128,7629,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.591859,2.5993634402660124
3,8,2888,8664,1408,3904,11,16,0.0003453,128,7629,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.574017,2.582246324353946
1,89,352,352,1408,3904,11,16,0.0003453,256,3814,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.695742,2.711772682422549
2,88,352,704,1408,3904,11,16,0.0003453,256,3814,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.660068,2.674417752677179
1,8,3528,3528,1408,3904,11,16,0.0003453,256,3814,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.623945,2.6384895027208666
3,8,2888,8664,1408,3904,11,16,0.0003453,256,3814,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.608172,2.623700086732829
1,89,352,352,1408,3904,11,16,0.0003453,512,1907,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.798481,2.8007922599147004
2,88,352,704,1408,3904,11,16,0.0003453,512,1907,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.761126,2.763145695151372
1,8,3528,3528,1408,3904,11,16,0.0003453,512,1907,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.721042,2.721746786255356
3,8,2888,8664,1408,3904,11,16,0.0003453,512,1907,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.707511,2.708054595335418
1,89,352,352,1408,3904,11,16,0.0004883,32,30517,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.725003,2.687884014256001
2,88,352,704,1408,3904,11,16,0.0004883,32,30517,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.689489,2.649459074959598
