h,ffnh,numh,numl,lr,bs,ti,D,N,D/N,loss,smooth loss
960,9368,15,7,0.002762,352,138716,100000000000,214663680,465.84499063837904,2.340949,2.346673623339132
1280,9472,10,10,0.001381,1024,23841,50000000000,429260800,116.47930582061068,2.274946,2.28344571013204
1280,9472,10,10,0.001953,352,69358,50000000000,429260800,116.47930582061068,2.268409,2.258328158204204
1024,9552,16,8,0.003906,64,610351,80000000000,268304384,298.1688141182218,2.38726,2.3823054878201217
960,9368,15,7,0.0004883,192,254313,100000000000,214663680,465.84499063837904,2.410149,2.3686896557810813
960,9368,15,7,0.01105,256,190734,100000000000,214663680,465.84499063837904,2.357445,2.383575025499705
1024,9552,16,8,0.001381,192,203450,80000000000,268304384,298.1688141182218,2.313955,2.3148436964338197
960,9368,15,7,0.007812,192,254313,100000000000,214663680,465.84499063837904,2.418105,2.380526820529147
1280,9472,10,10,0.0006905,1024,23841,50000000000,429260800,116.47930582061068,2.285999,2.294528556967749
1280,9472,10,10,0.007812,512,47683,50000000000,429260800,116.47930582061068,2.288259,2.2839957858338438
1024,9552,16,8,0.003906,1024,38146,80000000000,268304384,298.1688141182218,2.293572,2.30740873681215
960,9368,15,7,0.01105,64,762939,100000000000,214663680,465.84499063837904,2.503365,2.507513935822346
1024,9552,16,8,0.0002441,32,1220703,80000000000,268304384,298.1688141182218,2.309662,2.379680552881992
960,9368,15,7,0.0006905,736,66342,100000000000,214663680,465.84499063837904,2.390471,2.375468155457096
960,9368,15,7,0.005524,64,762939,100000000000,214663680,465.84499063837904,2.412967,2.417419608784305
1280,9472,10,10,0.001953,256,95367,50000000000,429260800,116.47930582061068,2.260204,2.2565505292836288
1024,9552,16,8,0.003906,512,76293,80000000000,268304384,298.1688141182218,2.294114,2.3049728920663264
960,9368,15,7,0.0003453,192,254313,100000000000,214663680,465.84499063837904,2.418899,2.3775538122137467
960,9368,15,7,0.002762,1024,47683,100000000000,214663680,465.84499063837904,2.337647,2.3502373611144862
1280,9472,10,10,0.0004883,736,33171,50000000000,429260800,116.47930582061068,2.307561,2.297239370490076
1024,9552,16,8,0.0004883,2048,19073,80000000000,268304384,298.1688141182218,2.386726,2.388009159483917
1280,9472,10,10,0.0003453,256,95367,50000000000,429260800,116.47930582061068,2.287951,2.286997797990468
1024,9552,16,8,0.007812,128,305175,80000000000,268304384,298.1688141182218,2.394084,2.370386248936305
1280,9472,10,10,0.0003453,1024,23841,50000000000,429260800,116.47930582061068,2.311244,2.319597353443179
1024,9552,16,8,0.0003453,352,110973,80000000000,268304384,298.1688141182218,2.336751,2.3447795759131216
1024,9552,16,8,0.001381,2048,19073,80000000000,268304384,298.1688141182218,2.347502,2.3485432493390217
1280,9472,10,10,0.0003453,32,762939,50000000000,429260800,116.47930582061068,2.332532,2.318340259169776
