,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
87,[82.38624787],[0.01494713],[0.01602134],[0.78194566],[0.0970111],[0.03363464],[0.00643905],[0.01817805]
88,[81.59411947],[0.02430465],[0.02536866],[0.78401707],[0.08659004],[0.04281463],[0.00312162],[0.00808624]
89,[80.42258541],[0.03814414],[0.03919305],[0.78708062],[0.07117759],[0.05639157],[0.01726158],[0.00420941]
90,[87.7544737],[0.00463852],[0.00735302],[0.77807698],[0.10583563],[0.01546911],[0.01902671],[0.01745256]
91,[88.07561261],[0.00103702],[0.00376134],[0.777274],[0.10983686],[0.0119068],[0.02271384],[0.01785297]
92,[87.74204808],[0.00477787],[0.00749199],[0.77810805],[0.10568081],[0.01560695],[0.01888405],[0.01587003]
93,[86.70962102],[0.01635631],[0.01903885],[0.78068954],[0.0928173],[0.0270594],[0.00703033],[0.0121179]
94,[84.83724344],[0.0373546],[0.03997988],[0.78537126],[0.06948842],[0.04782921],[0.01446721],[0.00733086]
95,[87.95440765],[0.0023963],[0.00511692],[0.77757706],[0.10832671],[0.0132513],[0.02132224],[0.01964451]
96,[88.39467805],[0.00254123],[0.00019285],[0.7764762],[0.11381225],[0.00836749],[0.02637716],[0.01741738]
97,[88.26597785],[0.00109789],[0.00163226],[0.77679801],[0.11220871],[0.00979513],[0.0248995],[0.0169831]
98,[87.58258056],[0.00656626],[0.0092755],[0.77850678],[0.10369393],[0.01737588],[0.01705314],[0.0142352]
99,[86.18867273],[0.02219862],[0.02486523],[0.78199213],[0.08632655],[0.03283815],[0.00104911],[0.01224863]
100,[87.95481228],[0.00239177],[0.00511239],[0.77757605],[0.10833175],[0.01324681],[0.02132688],[0.02030915]
101,[88.51326466],[0.00387115],[0.00113345],[0.77617969],[0.11528978],[0.00705204],[0.02773871],[0.01766305]
102,[88.60648451],[0.00491659],[0.00217603],[0.7759466],[0.11645125],[0.00601797],[0.028809],[0.01756992]
103,[88.10729252],[0.00068173],[0.00340702],[0.77719478],[0.11023157],[0.01155538],[0.02307757],[0.01556891]
104,[87.05126812],[0.01252481],[0.0152178],[0.77983528],[0.09707405],[0.02326959],[0.01095292],[0.01493459]
105,[87.84426012],[0.00363158],[0.00634883],[0.77785247],[0.10695432],[0.01447314],[0.02005759],[0.0218884]
106,[88.39912452],[0.0025911],[0.00014312],[0.77646508],[0.11386765],[0.00831817],[0.02642822],[0.01666135]
107,[88.71202845],[0.00610024],[0.00335646],[0.77568269],[0.11776628],[0.0048472],[0.03002079],[0.01771467]
108,[88.42944493],[0.00293113],[0.00019599],[0.77638927],[0.11424543],[0.00798183],[0.02677634],[0.01681477]
109,[87.67411287],[0.00553975],[0.00825179],[0.77827791],[0.10483437],[0.01636054],[0.01810406],[0.01707203]
110,[87.57069576],[0.00669955],[0.00940843],[0.7785365],[0.10354585],[0.01750772],[0.01691668],[0.02165023]
111,[88.35789267],[0.00212869],[0.00060426],[0.77656818],[0.11335392],[0.00877554],[0.02595482],[0.01733897]
112,[88.6122281],[0.00498101],[0.00224027],[0.77593224],[0.11652281],[0.00595426],[0.02887495],[0.01764519]
113,[88.51959333],[0.00394213],[0.00120423],[0.77616386],[0.11536863],[0.00698184],[0.02781137],[0.01753149]
114,[88.03911103],[0.00144637],[0.00416958],[0.77736527],[0.10938207],[0.0123117],[0.02229475],[0.01743815]
115,[87.25924485],[0.0101924],[0.01289175],[0.77931526],[0.09966533],[0.02096256],[0.01334079],[0.01889626]
116,[88.19100704],[0.00025711],[0.00247075],[0.77698546],[0.11127461],[0.01062676],[0.02403873],[0.01943079]
117,[88.50834933],[0.00381603],[0.00107847],[0.77619198],[0.11522854],[0.00710656],[0.02768227],[0.01942506]
118,[88.30461634],[0.00153121],[0.00120012],[0.77670139],[0.11269013],[0.00936652],[0.02534313],[0.01737289]
119,[88.03977145],[0.00143897],[0.00416219],[0.77736362],[0.10939029],[0.01230438],[0.02230234],[0.01749679]
120,[86.61893422],[0.01737334],[0.02005311],[0.7809163],[0.09168739],[0.02806537],[0.00598912],[0.01389061]
121,[87.7461081],[0.00473234],[0.00744658],[0.7780979],[0.1057314],[0.01556191],[0.01893067],[0.01663172]
122,[88.06257622],[0.00118322],[0.00390714],[0.77730659],[0.10967443],[0.01205141],[0.02256417],[0.01805144]
123,[87.86070025],[0.00344721],[0.00616496],[0.77781137],[0.10715916],[0.01429077],[0.02024634],[0.01713504]
124,[87.78494935],[0.00429674],[0.00701217],[0.77800078],[0.10621534],[0.01513106],[0.01937662],[0.01859529]
125,[85.93904449],[0.02499815],[0.02765712],[0.7826163],[0.0832163],[0.03560721],[0.00181698],[0.01268044]
126,[87.32133252],[0.0094961],[0.01219735],[0.77916001],[0.10043891],[0.02027384],[0.01405364],[0.01844088]
127,[87.63262133],[0.00600506],[0.00871584],[0.77838166],[0.10431741],[0.01682079],[0.01762768],[0.01706765]
128,[87.1575302],[0.0113331],[0.01402935],[0.77956958],[0.09839802],[0.02209086],[0.01217296],[0.01463913]
129,[87.19297135],[0.01093564],[0.01363297],[0.77948097],[0.0988396],[0.02169772],[0.01257987],[0.01882504]
130,[84.91470157],[0.03648592],[0.03911357],[0.78517759],[0.07045351],[0.04696999],[0.01357788],[0.01009702]
131,[86.80917519],[0.01523983],[0.01792542],[0.78044062],[0.09405769],[0.02595507],[0.00817335],[0.02038149]
132,[87.33950396],[0.00929231],[0.01199412],[0.77911457],[0.10066532],[0.02007227],[0.01426228],[0.02084853]
