,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
70,[0.82687786],[0.0591261],[0.0607039],[0.76775956],[0.1683916],[0.02927084],[0.04542206],[0.02384922]
71,[0.83049293],[0.03700981],[0.03855466],[0.77260912],[0.14399366],[0.00777797],[0.02359192],[0.01602781]
72,[0.833102],[0.02104809],[0.02256916],[0.77610913],[0.12638524],[0.00773381],[0.00783674],[0.01120096]
73,[0.83441694],[0.01300355],[0.01451264],[0.7778731],[0.11751078],[0.01555159],[0.00010372],[0.00924104]
74,[0.83228067],[0.02607279],[0.02760135],[0.77500734],[0.13192831],[0.00285075],[0.01279642],[0.00813531]
75,[0.82852609],[0.04904255],[0.05060533],[0.76997063],[0.15726777],[0.01947153],[0.03546898],[0.02228098]
76,[0.83166601],[0.0298332],[0.03136736],[0.77418277],[0.13607667],[0.00080366],[0.01650817],[0.01585868]
77,[0.83387002],[0.01634947],[0.01786354],[0.77713942],[0.12120188],[0.01229999],[0.00319891],[0.01011037]
78,[0.83522622],[0.00805255],[0.00955427],[0.77895873],[0.11204901],[0.02036302],[0.00499065],[0.00868229]
79,[0.83326724],[0.02003718],[0.02155675],[0.7763308],[0.12527004],[0.00871623],[0.00683891],[0.00795352]
80,[0.83028368],[0.03829001],[0.03983676],[0.7723284],[0.14540593],[0.00902208],[0.02485556],[0.01792911]
81,[0.83316486],[0.02066349],[0.02218399],[0.77619347],[0.12596096],[0.00810757],[0.00745711],[0.01471812]
82,[0.83628685],[0.00156378],[0.00305583],[0.78038156],[0.10489082],[0.02666888],[0.01139546],[0.00577368]
83,[0.83767091],[0.00690359],[0.00542416],[0.78223825],[0.0955499],[0.03489757],[0.01975328],[0.0037745]
84,[0.8349973],[0.00945301],[0.01095681],[0.77865165],[0.11359395],[0.01900204],[0.00360831],[0.00807206]
85,[0.83518353],[0.00831369],[0.0098158],[0.77890147],[0.11233709],[0.02010924],[0.00473289],[0.00980824]
86,[0.83728646],[0.00455162],[0.00306868],[0.78172252],[0.09814452],[0.0326119],[0.01743174],[0.01406364]
87,[0.8397649],[0.0197142],[0.01825386],[0.78504731],[0.08141768],[0.04734708],[0.03239813],[0.00683306]
