topk,nume,moeh,sed,h,ffnh,numh,numl,lr,bs,ti,numld,N,Na,M,kvcache,D,loss
3,8,2888,8664,1408,3904,11,16,0.0006905,32,122070,1,2156188672,1241270272,8001269760,45056,8000000000,2.381547
3,8,2888,8664,1408,3904,11,16,0.0006905,64,61035,1,2156188672,1241270272,8001269760,45056,8000000000,2.346307
3,8,2888,8664,1408,3904,11,16,0.0006905,128,30517,1,2156188672,1241270272,8001269760,45056,8000000000,2.338447
3,8,2888,8664,1408,3904,11,16,0.0006905,256,15258,1,2156188672,1241270272,8001269760,45056,8000000000,2.342488
3,8,2888,8664,1408,3904,11,16,0.0006905,512,7629,1,2156188672,1241270272,8001269760,45056,8000000000,2.342835
3,8,2888,8664,1408,3904,11,16,0.0009766,32,122070,1,2156188672,1241270272,8001269760,45056,8000000000,2.385108
3,8,2888,8664,1408,3904,11,16,0.0009766,64,61035,1,2156188672,1241270272,8001269760,45056,8000000000,2.344107
3,8,2888,8664,1408,3904,11,16,0.0009766,128,30517,1,2156188672,1241270272,8001269760,45056,8000000000,2.341954
3,8,2888,8664,1408,3904,11,16,0.0009766,256,15258,1,2156188672,1241270272,8001269760,45056,8000000000,2.35004
3,8,2888,8664,1408,3904,11,16,0.0009766,512,7629,1,2156188672,1241270272,8001269760,45056,8000000000,2.354861
3,8,2888,8664,1408,3904,11,16,0.001381,32,122070,1,2156188672,1241270272,8001269760,45056,8000000000,2.396926
3,8,2888,8664,1408,3904,11,16,0.001381,64,61035,1,2156188672,1241270272,8001269760,45056,8000000000,2.358012
3,8,2888,8664,1408,3904,11,16,0.001381,128,30517,1,2156188672,1241270272,8001269760,45056,8000000000,2.354467
3,8,2888,8664,1408,3904,11,16,0.001381,256,15258,1,2156188672,1241270272,8001269760,45056,8000000000,2.357776
3,8,2888,8664,1408,3904,11,16,0.001381,512,7629,1,2156188672,1241270272,8001269760,45056,8000000000,2.364273
3,8,2888,8664,1408,3904,11,16,0.001953,64,61035,1,2156188672,1241270272,8001269760,45056,8000000000,2.379908
3,8,2888,8664,1408,3904,11,16,0.001953,128,30517,1,2156188672,1241270272,8001269760,45056,8000000000,2.365967
3,8,2888,8664,1408,3904,11,16,0.001953,256,15258,1,2156188672,1241270272,8001269760,45056,8000000000,2.38457
3,8,2888,8664,1408,3904,11,16,0.001953,512,7629,1,2156188672,1241270272,8001269760,45056,8000000000,2.383399
3,8,2888,8664,1408,3904,11,16,0.002762,32,122070,1,2156188672,1241270272,8001269760,45056,8000000000,2.471576
3,8,2888,8664,1408,3904,11,16,0.002762,64,61035,1,2156188672,1241270272,8001269760,45056,8000000000,2.406197
3,8,2888,8664,1408,3904,11,16,0.002762,128,30517,1,2156188672,1241270272,8001269760,45056,8000000000,2.408115
3,8,2888,8664,1408,3904,11,16,0.002762,256,15258,1,2156188672,1241270272,8001269760,45056,8000000000,2.410012
3,8,2888,8664,1408,3904,11,16,0.002762,512,7629,1,2156188672,1241270272,8001269760,45056,8000000000,2.41654
3,8,2888,8664,1408,3904,11,16,0.0001726,32,305175,1,2156188672,1241270272,8001269760,45056,20000000000,2.128193
3,8,2888,8664,1408,3904,11,16,0.0001726,64,152587,1,2156188672,1241270272,8001269760,45056,20000000000,2.198235
3,8,2888,8664,1408,3904,11,16,0.0001726,128,76293,1,2156188672,1241270272,8001269760,45056,20000000000,2.258966
3,8,2888,8664,1408,3904,11,16,0.0001726,256,38146,1,2156188672,1241270272,8001269760,45056,20000000000,2.203549
3,8,2888,8664,1408,3904,11,16,0.0001726,512,19073,1,2156188672,1241270272,8001269760,45056,20000000000,2.241921
3,8,2888,8664,1408,3904,11,16,0.0002441,32,305175,1,2156188672,1241270272,8001269760,45056,20000000000,2.125412
3,8,2888,8664,1408,3904,11,16,0.0002441,64,152587,1,2156188672,1241270272,8001269760,45056,20000000000,2.186135
3,8,2888,8664,1408,3904,11,16,0.0002441,128,76293,1,2156188672,1241270272,8001269760,45056,20000000000,2.243159
3,8,2888,8664,1408,3904,11,16,0.0002441,256,38146,1,2156188672,1241270272,8001269760,45056,20000000000,2.186541
3,8,2888,8664,1408,3904,11,16,0.0002441,512,19073,1,2156188672,1241270272,8001269760,45056,20000000000,2.220498
3,8,2888,8664,1408,3904,11,16,0.0003453,32,305175,1,2156188672,1241270272,8001269760,45056,20000000000,2.126539
3,8,2888,8664,1408,3904,11,16,0.0003453,64,152587,1,2156188672,1241270272,8001269760,45056,20000000000,2.180145
3,8,2888,8664,1408,3904,11,16,0.0003453,128,76293,1,2156188672,1241270272,8001269760,45056,20000000000,2.234624
3,8,2888,8664,1408,3904,11,16,0.0003453,256,38146,1,2156188672,1241270272,8001269760,45056,20000000000,2.173956
3,8,2888,8664,1408,3904,11,16,0.0003453,512,19073,1,2156188672,1241270272,8001269760,45056,20000000000,2.203276
3,8,2888,8664,1408,3904,11,16,0.0004883,32,305175,1,2156188672,1241270272,8001269760,45056,20000000000,2.135169
3,8,2888,8664,1408,3904,11,16,0.0004883,64,152587,1,2156188672,1241270272,8001269760,45056,20000000000,2.178107
3,8,2888,8664,1408,3904,11,16,0.0004883,128,76293,1,2156188672,1241270272,8001269760,45056,20000000000,2.230365
3,8,2888,8664,1408,3904,11,16,0.0004883,256,38146,1,2156188672,1241270272,8001269760,45056,20000000000,2.165782
3,8,2888,8664,1408,3904,11,16,0.0004883,512,19073,1,2156188672,1241270272,8001269760,45056,20000000000,2.191516
3,8,2888,8664,1408,3904,11,16,0.0006905,32,305175,1,2156188672,1241270272,8001269760,45056,20000000000,2.145858
3,8,2888,8664,1408,3904,11,16,0.0006905,64,152587,1,2156188672,1241270272,8001269760,45056,20000000000,2.180968
3,8,2888,8664,1408,3904,11,16,0.0006905,128,76293,1,2156188672,1241270272,8001269760,45056,20000000000,2.225799
3,8,2888,8664,1408,3904,11,16,0.0006905,256,38146,1,2156188672,1241270272,8001269760,45056,20000000000,2.161329
3,8,2888,8664,1408,3904,11,16,0.0006905,512,19073,1,2156188672,1241270272,8001269760,45056,20000000000,2.183465
3,8,2888,8664,1408,3904,11,16,0.0009766,64,152587,1,2156188672,1241270272,8001269760,45056,20000000000,2.185306
3,8,2888,8664,1408,3904,11,16,0.0009766,128,76293,1,2156188672,1241270272,8001269760,45056,20000000000,2.225691
3,8,2888,8664,1408,3904,11,16,0.0009766,256,38146,1,2156188672,1241270272,8001269760,45056,20000000000,2.159604
3,8,2888,8664,1408,3904,11,16,0.0009766,512,19073,1,2156188672,1241270272,8001269760,45056,20000000000,2.189866
3,8,2888,8664,1408,3904,11,16,0.001381,32,305175,1,2156188672,1241270272,8001269760,45056,20000000000,2.177114
3,8,2888,8664,1408,3904,11,16,0.001381,64,152587,1,2156188672,1241270272,8001269760,45056,20000000000,2.192065
3,8,2888,8664,1408,3904,11,16,0.001381,128,76293,1,2156188672,1241270272,8001269760,45056,20000000000,2.228078
3,8,2888,8664,1408,3904,11,16,0.001381,256,38146,1,2156188672,1241270272,8001269760,45056,20000000000,2.16621
3,8,2888,8664,1408,3904,11,16,0.001381,512,19073,1,2156188672,1241270272,8001269760,45056,20000000000,2.196771
3,8,2888,8664,1408,3904,11,16,0.001953,256,38146,1,2156188672,1241270272,8001269760,45056,20000000000,2.169837
3,8,2888,8664,1408,3904,11,16,0.001953,512,19073,1,2156188672,1241270272,8001269760,45056,20000000000,2.207894
3,8,2888,8664,1408,3904,11,16,0.002762,32,305175,1,2156188672,1241270272,8001269760,45056,20000000000,2.233583
3,8,2888,8664,1408,3904,11,16,0.002762,64,152587,1,2156188672,1241270272,8001269760,45056,20000000000,2.221605
3,8,2888,8664,1408,3904,11,16,0.002762,128,76293,1,2156188672,1241270272,8001269760,45056,20000000000,2.26356
3,8,2888,8664,1408,3904,11,16,0.002762,256,38146,1,2156188672,1241270272,8001269760,45056,20000000000,2.18809
3,8,2888,8664,1408,3904,11,16,0.002762,512,19073,1,2156188672,1241270272,8001269760,45056,20000000000,2.234457
