N,N_no_emb,D,C,C_no_emb,C_6ND,C_6ND_no_emb,portion_steps_elapsed,train_tokens,total_steps,current_steps,total_epochs,current_epoch,peak_lr,loss
93940416,35842752,7381975040,4160794836962377728,1587541803780538368,4160794836955299840,1587541803773460480,0.44,7381975040,16000,7040,125,55,0.002,3.4200013275258243
93940416,35842752,7516192768,4236445652179746816,1616406200212783104,4236445652172668928,1616406200205705216,0.448,7516192768,16000,7168,125,56,0.002,3.4164115451276302
93940416,35842752,7650410496,4312096467397115904,1645270596645027840,4312096467390038016,1645270596637949952,0.456,7650410496,16000,7296,125,57,0.002,3.413269492797553
93940416,35842752,7784628224,4387747282614484992,1674134993077272576,4387747282607407104,1674134993070194688,0.464,7784628224,16000,7424,125,58,0.002,3.411617315374315
93940416,35842752,7918845952,4463398097831854080,1702999389509517312,4463398097824776192,1702999389502439424,0.472,7918845952,16000,7552,125,59,0.002,3.407822707202285
93940416,35842752,8053063680,4539048913049223168,1731863785941762048,4539048913042145280,1731863785934684160,0.48,8053063680,16000,7680,125,60,0.002,3.404161336598918
93940416,35842752,8187281408,4614699728266592256,1760728182374006784,4614699728259514368,1760728182366928896,0.488,8187281408,16000,7808,125,61,0.002,3.4014725610613823
93940416,35842752,8321499136,4690350543483961344,1789592578806251520,4690350543476883456,1789592578799173632,0.496,8321499136,16000,7936,125,62,0.002,3.3998975744470954
93940416,35842752,8455716864,4766001358701330432,1818456975238496256,4766001358694252544,1818456975231418368,0.504,8455716864,16000,8064,125,63,0.002,3.397643385687843
93940416,35842752,8589934592,4841652173918699520,1847321371670740992,4841652173911621632,1847321371663663104,0.512,8589934592,16000,8192,125,64,0.002,3.394922411767766
93940416,35842752,8724152320,4917302989136068608,1876185768102985728,4917302989128990720,1876185768095907840,0.52,8724152320,16000,8320,125,65,0.002,3.3918904897291213
93940416,35842752,8858370048,4992953804353437696,1905050164535230464,4992953804346359808,1905050164528152576,0.528,8858370048,16000,8448,125,66,0.002,3.3899911309126765
93940416,35842752,8992587776,5068604619570806784,1933914560967475200,5068604619563728896,1933914560960397312,0.536,8992587776,16000,8576,125,67,0.002,3.38667699904181
93940416,35842752,9126805504,5144255434788175872,1962778957399719936,5144255434781097984,1962778957392642048,0.544,9126805504,16000,8704,125,68,0.002,3.3834071315359324
93940416,35842752,9261023232,5219906250005544960,1991643353831964672,5219906249998467072,1991643353824886784,0.552,9261023232,16000,8832,125,69,0.002,3.3806511955335736
93940416,35842752,9395240960,5295557065222914048,2020507750264209408,5295557065215836160,2020507750257131520,0.56,9395240960,16000,8960,125,70,0.002,3.3785470011644065
93940416,35842752,9529458688,5371207880440283136,2049372146696454144,5371207880433205248,2049372146689376256,0.568,9529458688,16000,9088,125,71,0.002,3.3756362185813487
93940416,35842752,9663676416,5446858695657652224,2078236543128698880,5446858695650574336,2078236543121620992,0.576,9663676416,16000,9216,125,72,0.002,3.3737726674880832
93940416,35842752,9797894144,5522509510875021312,2107100939560943616,5522509510867943424,2107100939553865728,0.584,9797894144,16000,9344,125,73,0.002,3.371001224266365
93940416,35842752,9932111872,5598160326092390400,2135965335993188352,5598160326085312512,2135965335986110464,0.592,9932111872,16000,9472,125,74,0.002,3.3682205833029
93940416,35842752,10066329600,5673811141309759488,2164829732425433088,5673811141302681600,2164829732418355200,0.6,10066329600,16000,9600,125,75,0.002,3.366118234815076
93940416,35842752,10200547328,5749461956527128576,2193694128857677824,5749461956520050688,2193694128850599936,0.608,10200547328,16000,9728,125,76,0.002,3.3631071960553527
93940416,35842752,10334765056,5825112771744497664,2222558525289922560,5825112771737419776,2222558525282844672,0.616,10334765056,16000,9856,125,77,0.002,3.3610625001601875
93940416,35842752,10468982784,5900763586961866752,2251422921722167296,5900763586954788864,2251422921715089408,0.624,10468982784,16000,9984,125,78,0.002,3.3589749331586063
93940416,35842752,10603200512,5976414402179235840,2280287318154412032,5976414402172157952,2280287318147334144,0.632,10603200512,16000,10112,125,79,0.002,3.3565193535760045
93940416,35842752,10737418240,6052065217396604928,2309151714586656768,6052065217389527040,2309151714579578880,0.64,10737418240,16000,10240,125,80,0.002,3.3543009874410927
93940416,35842752,10871635968,6127716032613974016,2338016111018901504,6127716032606896128,2338016111011823616,0.648,10871635968,16000,10368,125,81,0.002,3.3520074472762644
93940416,35842752,11005853696,6203366847831343104,2366880507451146240,6203366847824265216,2366880507444068352,0.656,11005853696,16000,10496,125,82,0.002,3.3502288677264005
93940416,35842752,11140071424,6279017663048712192,2395744903883390976,6279017663041634304,2395744903876313088,0.664,11140071424,16000,10624,125,83,0.002,3.3480032857041806
93940416,35842752,11274289152,6354668478266081280,2424609300315635712,6354668478259003392,2424609300308557824,0.672,11274289152,16000,10752,125,84,0.002,3.345832526683808
93940416,35842752,11408506880,6430319293483450368,2453473696747880448,6430319293476372480,2453473696740802560,0.68,11408506880,16000,10880,125,85,0.002,3.343632397707552
93940416,35842752,11542724608,6505970108700819456,2482338093180125184,6505970108693741568,2482338093173047296,0.688,11542724608,16000,11008,125,86,0.002,3.340641062241048
93940416,35842752,11676942336,6581620923918188544,2511202489612369920,6581620923911110656,2511202489605292032,0.696,11676942336,16000,11136,125,87,0.002,3.3387196033727378
93940416,35842752,11811160064,6657271739135557632,2540066886044614656,6657271739128479744,2540066886037536768,0.704,11811160064,16000,11264,125,88,0.002,3.33641069708392
93940416,35842752,11945377792,6732922554352926720,2568931282476859392,6732922554345848832,2568931282469781504,0.712,11945377792,16000,11392,125,89,0.002,3.3346182031091303
93940416,35842752,12079595520,6808573369570295808,2597795678909104128,6808573369563217920,2597795678902026240,0.72,12079595520,16000,11520,125,90,0.002,3.3322663966100663
93940416,35842752,12213813248,6884224184787664896,2626660075341348864,6884224184780587008,2626660075334270976,0.728,12213813248,16000,11648,125,91,0.002,3.330631497083232
93940416,35842752,12348030976,6959875000005033984,2655524471773593600,6959874999997956096,2655524471766515712,0.736,12348030976,16000,11776,125,92,0.002,3.328590800752864
93940416,35842752,12482248704,7035525815222403072,2684388868205838336,7035525815215325184,2684388868198760448,0.744,12482248704,16000,11904,125,93,0.002,3.326176966773346
93940416,35842752,12616466432,7111176630439772160,2713253264638083072,7111176630432694272,2713253264631005184,0.752,12616466432,16000,12032,125,94,0.002,3.3242901058401912
93940416,35842752,12750684160,7186827445657141248,2742117661070327808,7186827445650063360,2742117661063249920,0.76,12750684160,16000,12160,125,95,0.002,3.322739632567391
93940416,35842752,12884901888,7262478260874510336,2770982057502572544,7262478260867432448,2770982057495494656,0.768,12884901888,16000,12288,125,96,0.002,3.321113203186542
93940416,35842752,13019119616,7338129076091879424,2799846453934817280,7338129076084801536,2799846453927739392,0.776,13019119616,16000,12416,125,97,0.002,3.3191875987686217
93940416,35842752,13153337344,7413779891309248512,2828710850367062016,7413779891302170624,2828710850359984128,0.784,13153337344,16000,12544,125,98,0.002,3.317453919677064
93940416,35842752,13287555072,7489430706526617600,2857575246799306752,7489430706519539712,2857575246792228864,0.792,13287555072,16000,12672,125,99,0.002,3.3160783865023404
93940416,35842752,13421772800,7565081521743986688,2886439643231551488,7565081521736908800,2886439643224473600,0.8,13421772800,16000,12800,125,100,0.002,3.314222821732983
93940416,35842752,13555990528,7640732336961355776,2915304039663796224,7640732336954277888,2915304039656718336,0.808,13555990528,16000,12928,125,101,0.002,3.3121381383389235
93940416,35842752,13690208256,7716383152178724864,2944168436096040960,7716383152171646976,2944168436088963072,0.816,13690208256,16000,13056,125,102,0.002,3.310858115553856
93940416,35842752,13824425984,7792033967396093952,2973032832528285696,7792033967389016064,2973032832521207808,0.824,13824425984,16000,13184,125,103,0.002,3.308890599058941
93940416,35842752,13958643712,7867684782613463040,3001897228960530432,7867684782606385152,3001897228953452544,0.832,13958643712,16000,13312,125,104,0.002,3.30745166586712
93940416,35842752,14092861440,7943335597830832128,3030761625392775168,7943335597823754240,3030761625385697280,0.84,14092861440,16000,13440,125,105,0.002,3.306288224644959
93940416,35842752,14227079168,8018986413048201216,3059626021825019904,8018986413041123328,3059626021817942016,0.848,14227079168,16000,13568,125,106,0.002,3.304910667706281
93940416,35842752,14361296896,8094637228265570304,3088490418257264640,8094637228258492416,3088490418250186752,0.856,14361296896,16000,13696,125,107,0.002,3.3036328351590782
93940416,35842752,14495514624,8170288043482939392,3117354814689509376,8170288043475861504,3117354814682431488,0.864,14495514624,16000,13824,125,108,0.002,3.302101998822764
93940416,35842752,14629732352,8245938858700308480,3146219211121754112,8245938858693230592,3146219211114676224,0.872,14629732352,16000,13952,125,109,0.002,3.3008034634403884
93940416,35842752,14763950080,8321589673917677568,3175083607553998848,8321589673910599680,3175083607546920960,0.88,14763950080,16000,14080,125,110,0.002,3.299574302043766
93940416,35842752,14898167808,8397240489135046656,3203948003986243584,8397240489127968768,3203948003979165696,0.888,14898167808,16000,14208,125,111,0.002,3.298291871091351
93940416,35842752,15032385536,8472891304352415744,3232812400418488320,8472891304345337856,3232812400411410432,0.896,15032385536,16000,14336,125,112,0.002,3.2971868882887065
93940416,35842752,15166603264,8548542119569784832,3261676796850733056,8548542119562706944,3261676796843655168,0.904,15166603264,16000,14464,125,113,0.002,3.296407228568569
93940416,35842752,15300820992,8624192934787153920,3290541193282977792,8624192934780076032,3290541193275899904,0.912,15300820992,16000,14592,125,114,0.002,3.295148133067414
93940416,35842752,15435038720,8699843750004523008,3319405589715222528,8699843749997445120,3319405589708144640,0.92,15435038720,16000,14720,125,115,0.002,3.29422211763449
93940416,35842752,15569256448,8775494565221892096,3348269986147467264,8775494565214814208,3348269986140389376,0.928,15569256448,16000,14848,125,116,0.002,3.293347167782485
93940416,35842752,15703474176,8851145380439261184,3377134382579712000,8851145380432183296,3377134382572634112,0.936,15703474176,16000,14976,125,117,0.002,3.292280449764803
93940416,35842752,15837691904,8926796195656630272,3405998779011956736,8926796195649552384,3405998779004878848,0.944,15837691904,16000,15104,125,118,0.002,3.2914555692113936
93940416,35842752,15971909632,9002447010873999360,3434863175444201472,9002447010866921472,3434863175437123584,0.952,15971909632,16000,15232,125,119,0.002,3.291038948809728
93940416,35842752,16106127360,9078097826091368448,3463727571876446208,9078097826084290560,3463727571869368320,0.96,16106127360,16000,15360,125,120,0.002,3.29024153156206
93940416,35842752,16240345088,9153748641308737536,3492591968308690944,9153748641301659648,3492591968301613056,0.968,16240345088,16000,15488,125,121,0.002,3.289604456163943
93940416,35842752,16374562816,9229399456526106624,3521456364740935680,9229399456519028736,3521456364733857792,0.976,16374562816,16000,15616,125,122,0.002,3.288965222658589
93940416,35842752,16508780544,9305050271743475712,3550320761173180416,9305050271736397824,3550320761166102528,0.984,16508780544,16000,15744,125,123,0.002,3.288475578650832
93940416,35842752,16642998272,9380701086960844800,3579185157605425152,9380701086953766912,3579185157598347264,0.992,16642998272,16000,15872,125,124,0.002,3.287854722933844
