h,ffnh,numh,numl,lr,bs,ti,D,N,loss
1280,9472,10,10,0.003906,256,95367,50000000000,429260800,2.263762027884543
1280,9472,10,10,0.001381,2048,11920,50000000000,429260800,2.306798032469871
1280,9472,10,10,0.0003453,512,47683,50000000000,429260800,2.299321093341506
1280,9472,10,10,0.0004883,32,762939,50000000000,429260800,2.3180113133507807
1280,9472,10,10,0.005524,64,381469,50000000000,429260800,2.3634505603663296
1280,9472,10,10,0.005524,128,190734,50000000000,429260800,2.3042890662192463
1280,9472,10,10,0.003906,192,127156,50000000000,429260800,2.2715481940965225
1280,9472,10,10,0.0006905,736,33171,50000000000,429260800,2.2866289161539206
1280,9472,10,10,0.0004883,352,69358,50000000000,429260800,2.2823513992552504
1280,9472,10,10,0.001381,256,95367,50000000000,429260800,2.260117609229543
1280,9472,10,10,0.0003453,128,190734,50000000000,429260800,2.2823429680594822
1280,9472,10,10,0.002762,192,127156,50000000000,429260800,2.264216164214292
1280,9472,10,10,0.0004883,512,47683,50000000000,429260800,2.2889786080326493
1280,9472,10,10,0.0006905,192,127156,50000000000,429260800,2.269377645570819
1280,9472,10,10,0.0003453,2048,11920,50000000000,429260800,2.354583648325244
1280,9472,10,10,0.0006905,64,381469,50000000000,429260800,2.2853229532192563
1280,9472,10,10,0.007812,1024,23841,50000000000,429260800,2.3048148381313425
1280,9472,10,10,0.0004883,256,95367,50000000000,429260800,2.2771395213925683
1280,9472,10,10,0.003906,128,190734,50000000000,429260800,2.2872143523966475
1280,9472,10,10,0.001381,352,69358,50000000000,429260800,2.2625204413862106
1280,9472,10,10,0.0002441,352,69358,50000000000,429260800,2.304359496863605
1280,9472,10,10,0.001381,1024,23841,50000000000,429260800,2.28344571013204
1280,9472,10,10,0.001953,352,69358,50000000000,429260800,2.258328158204204
1280,9472,10,10,0.0006905,1024,23841,50000000000,429260800,2.294528556967749
1280,9472,10,10,0.007812,512,47683,50000000000,429260800,2.283995785833844
1280,9472,10,10,0.001953,256,95367,50000000000,429260800,2.2565505292836288
1280,9472,10,10,0.0004883,736,33171,50000000000,429260800,2.297239370490076
1280,9472,10,10,0.0003453,256,95367,50000000000,429260800,2.286997797990468
1280,9472,10,10,0.0003453,1024,23841,50000000000,429260800,2.319597353443179
1280,9472,10,10,0.0003453,32,762939,50000000000,429260800,2.318340259169776
1280,9472,10,10,0.0006905,2048,11920,50000000000,429260800,2.323316763046171
1280,9472,10,10,0.007812,128,190734,50000000000,429260800,2.3305299758536093
1280,9472,10,10,0.002762,128,190734,50000000000,429260800,2.277392771600305
1280,9472,10,10,0.002762,64,381469,50000000000,429260800,2.315722974188469
1280,9472,10,10,0.0002441,128,190734,50000000000,429260800,2.291650931121152
1280,9472,10,10,0.003906,736,33171,50000000000,429260800,2.268819640741277
1280,9472,10,10,0.005524,192,127156,50000000000,429260800,2.2924707916645533
