IntelliValSet|zh|web-data,IntelliValSet|zh|paper,IntelliValSet|zh|book,IntelliValSet|zh,IntelliValSet|en|web-data,IntelliValSet|en|paper,IntelliValSet|en|book,IntelliValSet|en,IntelliValSet_Raw|zh|web-data,IntelliValSet_Raw|zh|paper,IntelliValSet_Raw|zh|book,IntelliValSet_Raw|zh,IntelliValSet_Raw|en|web-data,IntelliValSet_Raw|en|paper,IntelliValSet_Raw|en|book,L,IntelliValSet_Raw,IntelliValSet,data_recipe,h,ffnh,numh,numl,lr,bs,ti,loss,smooth loss,average_iter_time,target_iter,final_iter,seq_len,D,N,M,D/N,round(D/N),ND,C,exact_N,N_add_emb,new_D/N,new_round(D/N),new_ND
2.884829461,1.792794233,1.678572044,1.98521939,0.593287457,0.566265683,0.573763561,0.577814451,2.906227439,1.706569526,1.44658253,1.847054577,0.599388521,0.540706727,0.552810666,0.564387474,1.055449046,1.116695844,2049_sc,1152,3032,18,18,0.00287,280,55803,2.320447,2.325450333,1.321905,-1,55802,2048,31999672320,284207616,2214604800,3.518744623,112,9.09455E+18,7.09E+19,284207616,435202560,3.518744623,112,9.09455E+18
2.784378461,1.737679194,1.61794878,1.916714639,0.586861545,0.559529761,0.567868343,0.571463884,2.802713249,1.650970627,1.392448399,1.781144408,0.592780797,0.534264764,0.546789389,0.558031018,1.0262928,1.086547056,2049_sc,1152,3032,18,18,0.00319,344,64235,2.304981,2.304947405,2.150834,-1,64234,2048,45254328320,284207616,2214604800,3.518744623,159,1.28616E+19,1.00E+20,284207616,435202560,3.518744623,159,1.28616E+19
2.698630275,1.685926329,1.580765802,1.864775245,0.581511643,0.554208214,0.562891458,0.566248335,2.71391392,1.597425655,1.357498143,1.729243646,0.587219195,0.528905204,0.541731805,0.552705059,1.003135951,1.063441409,2049_sc,1152,3032,18,18,0.00355,416,75120,2.278046,2.281726875,1.9029,-1,75119,2048,63999836160,284207616,2214604800,3.518744623,225,1.81892E+19,1.42E+20,284207616,435202560,3.518744623,225,1.81892E+19
2.644908586,1.658790135,1.547083375,1.828039788,0.576394155,0.549037171,0.558165535,0.56124434,2.657130078,1.568221359,1.3247517,1.691793407,0.581923035,0.523673797,0.536963235,0.547607062,0.985652088,1.046287753,2049_sc,1152,3032,18,18,0.00395,512,86316,2.259881,2.258264561,1.203625,-1,86315,2048,90508886016,284207616,2214604800,3.518744623,318,2.57233E+19,2.00E+20,284207616,435202560,3.518744623,318,2.57233E+19
2.576751329,1.617810929,1.506202231,1.780825351,0.572171379,0.544898354,0.554769948,0.557326468,2.586375129,1.527288651,1.2881017,1.646219443,0.577593474,0.519572917,0.533502963,0.543644327,0.965758738,1.025792056,2049_sc,1152,3032,18,18,0.0044,624,100160,2.238094,2.241319709,1.460699,-1,100159,2048,1.28E+11,284207616,2214604800,3.518744623,450,3.63785E+19,2.83E+20,284207616,435202560,3.518744623,450,3.63785E+19
3.750935053,2.290865284,2.186081315,2.573398548,0.663259273,0.635792204,0.637713259,0.645621351,3.811794092,2.218516876,1.89477656,2.416453042,0.671715451,0.610546126,0.617604673,0.633368429,1.316011907,1.38374812,2049_sc,1280,3472,20,20,0.00107,72,19181,2.630004,2.596660444,0.449289,-1,19180,2048,2828353536,397772800,3015475200,3.518744623,7,1.12504E+18,8.53E+18,397772800,565544960,3.518744623,7,1.12504E+18
3.62522737,2.215647657,2.086412366,2.473617193,0.648151182,0.620820436,0.624539916,0.631206563,3.680047113,2.141383823,1.813573651,2.324542712,0.656097956,0.595558554,0.604228363,0.618710012,1.271778049,1.33664732,2049_sc,1280,3472,20,20,0.00119,88,22194,2.553132,2.536176233,0.540533,-1,22193,2048,3999891456,397772800,3015475200,3.518744623,10,1.59105E+18,1.21E+19,397772800,565544960,3.518744623,10,1.59105E+18
3.459996922,2.117133286,1.990355793,2.360964967,0.633217036,0.606619937,0.610578219,0.616840731,3.506852768,2.041559079,1.730809291,2.216737304,0.640654487,0.581174429,0.589919341,0.603996762,1.221425012,1.284648602,2049_sc,1280,3472,20,20,0.00133,104,26558,2.488071,2.474976081,0.624112,-1,26557,2048,5656641536,397772800,3015475200,3.518744623,14,2.25006E+18,1.71E+19,397772800,565544960,3.518744623,14,2.25006E+18
3.301305065,2.028479006,1.905788911,2.258263184,0.620049682,0.593580155,0.598844347,0.604195837,3.340537325,1.949514297,1.656518431,2.116868907,0.627018389,0.568005027,0.57811609,0.591128984,1.175249558,1.237521819,2049_sc,1280,3472,20,20,0.00148,128,30517,2.462113,2.428453974,0.759998,-1,30516,2048,7999848448,397772800,3015475200,3.518744623,20,3.18212E+18,2.41E+19,397772800,565544960,3.518744623,20,3.18212E+18
3.160594754,1.935248581,1.824871351,2.160537641,0.609018698,0.58253236,0.588432558,0.59336676,3.194889714,1.855653911,1.581640186,2.021032719,0.615653778,0.557078823,0.567576563,0.580185709,1.13180553,1.193420947,2049_sc,1280,3472,20,20,0.00164,152,36343,2.403317,2.385651537,1.157342,-1,36342,2048,11313430528,397772800,3015475200,3.518744623,28,4.50017E+18,3.41E+19,397772800,565544960,3.518744623,28,4.50017E+18
3.035414606,1.879566343,1.753114837,2.080308873,0.598358429,0.572153526,0.578875685,0.583169211,3.064892225,1.797206558,1.517037489,1.942791638,0.604655361,0.546638856,0.558012521,0.569852438,1.095474152,1.156409138,2049_sc,1280,3472,20,20,0.00183,192,40690,2.356663,2.344851082,1.116802,-1,40689,2048,15999959040,397772800,3015475200,3.518744623,40,6.36435E+18,4.82E+19,397772800,565544960,3.518744623,40,6.36435E+18
2.917780069,1.813549492,1.690787057,2.004295569,0.589214324,0.563336782,0.57079316,0.574488994,2.941493752,1.728066292,1.461993515,1.868529334,0.595172295,0.537727223,0.549685498,0.560945559,1.061546332,1.12194775,2049_sc,1280,3472,20,20,0.00203,232,47623,2.280682,2.310581422,1.746084,-1,47622,2048,22627401728,397772800,3015475200,3.518744623,56,9.00056E+18,6.82E+19,397772800,565544960,3.518744623,56,9.00056E+18
2.828519333,1.750585233,1.631665339,1.937273098,0.58148514,0.555564505,0.563025887,0.566732804,2.848224326,1.663234269,1.407265909,1.802444227,0.587193482,0.529962845,0.541915828,0.553107692,1.031408851,1.091499089,2049_sc,1280,3472,20,20,0.00226,280,55803,2.271801,2.278385621,1.661156,-1,55802,2048,31999672320,397772800,3015475200,3.518744623,80,1.27286E+19,9.65E+19,397772800,565544960,3.518744623,80,1.27286E+19
2.735355462,1.700232055,1.583428436,1.878131967,0.574987383,0.549191921,0.557282212,0.560529079,2.751443673,1.614137915,1.363413639,1.745081607,0.580512731,0.523465429,0.5360534,0.546761704,1.005531445,1.065026156,2049_sc,1280,3472,20,20,0.00251,344,64235,2.257758,2.257361358,2.566219,-1,64234,2048,45254328320,397772800,3015475200,3.518744623,113,1.80009E+19,1.36E+20,397772800,565544960,3.518744623,113,1.80009E+19
