step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,router_type,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,loss
30000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.927898999075829
40000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.8900549803417865
50000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.857693331871368
60000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.8285584498989675
70000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.80841465515891
80000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.792719412289908
90000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.772920223680707
100000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.7527451011105715
110000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.7480145987688163
120000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.735640105888065
130000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.7177519149136136
140000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.707069124857066
150000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.6924077003806333
160000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.6700396297050486
170000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.6649958490625147
180000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.65268401184192
190000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.6425651227267744
200000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.630347268996413
210000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.6169076298930154
220000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.6159364671606022
230000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.608229820961451
240000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.601807615795492
249000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.601556993154869
0,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,10.954464998981846
10000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,3.220406948512711
20000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,3.060854309926223
