step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,router_type,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,loss
170000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.0561198887179115
180000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.048444900940108
190000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.041190426815096
200000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.0350474712077133
210000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.029217183405064
220000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.024204004472121
230000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.020183027377718
240000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.015935664166125
249000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.016134725661802
0,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,10.896166838979587
10000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,3.2952267317448487
20000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,3.152695344746059
30000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,3.086672372027602
40000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,3.047440301587683
50000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,3.018770912977968
60000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.996826086172489
70000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.9789522773356416
80000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.96495458252186
90000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.950867074607487
100000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.9391047392063987
110000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.925670743069414
120000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.914427775840927
130000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.903254234690197
140000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.8919287551192965
150000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.881780500889616
160000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.8724248610476626
170000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.8602143242127704
180000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.850756498801824
190000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.841040955374961
200000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.832098453291177
210000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.8231593198248017
220000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.815352442535645
230000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.810262699562405
240000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.8052466904899296
249000,512,512,8,8,64,1.0,1,S-Base,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.8028807814992027
0,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,10.91758934224552
10000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,3.3146936586841704
20000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,3.182356083647905
30000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,3.1208196084088704
40000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,3.0840493836807643
50000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,3.0600580153558865
60000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,3.038550182130749
70000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,3.0218203507569745
80000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,3.0067282935811432
90000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.9936756900531365
100000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.9803440297580406
110000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.9701126996625877
120000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.960185171271028
130000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.9480423448983357
140000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.940243607391022
150000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.92731558009345
160000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.917375804460901
170000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.9073117280982266
180000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.8983369674328583
190000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.888516145319901
200000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.879967646245582
210000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.871672632500621
220000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.865114347655342
230000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.860212345619645
240000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.855882607815793
249000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.8536163297548347
0,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,10.845833433515264
10000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.991139308985117
20000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.872403459682784
30000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.817610731087655
40000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.785776319796751
50000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.759985464854175
60000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.7442376418075223
70000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.727208642144134
80000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.714969666163753
90000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.703062273588837
100000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.692953760278666
110000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.6803281884902983
120000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.670211341295793
130000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.6584513539086982
140000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.650073358218525
150000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.6406604456192446
160000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.6283937004600357
170000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.6184444701578067
180000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.608643678169556
190000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.6005558156111497
200000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.5929834767437665
210000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.5853229527321617
220000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.5779089827126063
230000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.5726150063515343
240000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.569438663112212
249000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.566871062850136
0,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,10.78375069125532
10000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.891044286424146
20000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.7618037606293027
30000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.702473422986143
40000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.6639374103371725
50000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.637637775199763
60000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.617005619705385
70000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.5992674133726847
80000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.58354523063884
90000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.5675537150465244
100000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.553865394556514
110000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.541944427330032
120000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.5278120316494754
130000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.5164416580510207
140000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.503948032126341
150000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.490099044865476
160000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.4787307876103
170000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.465607474423553
180000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.455490213978585
190000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.4432056301743965
200000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.432543805801336
210000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.42425415178965
220000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.412655832992715
230000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.4074535481434283
240000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.402444082203281
249000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.3978373351005424
0,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,10.77046135782581
10000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.9355352382426485
20000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.8119540648317343
30000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.7514292642939577
40000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.715306709484424
50000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.68998434594724
60000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.669039444380996
70000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.650687717645244
80000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.637914383770928
90000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.623780917395991
100000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.609278568630633
110000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.5959200752316205
120000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.5836927547927035
130000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.5724344972970914
140000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.559805882482588
150000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.548680691636011
